,Gender,Age,Annual Income (k),Spending Score (1-100),Email,label
1468,1,19.0,645.0,59.0,antonette.mayert53@gmail.com,4
1477,1,40.0,456.0,48.0,blaise.runolfsdottir37@gmail.com,4
1481,1,38.0,334.0,55.0,gerda_toy@gmail.com,4
1486,1,19.0,678.0,58.0,johnathan_corwin@yahoo.com,4
1494,1,32.0,678.0,42.0,bethel_klein@yahoo.com,4
1530,1,27.0,678.0,47.0,maxime_weissnat@hotmail.com,4
1545,1,67.0,444.0,52.0,tamia.mertz42@yahoo.com,4
1563,1,57.0,345.0,51.0,alexandre_bradtke@yahoo.com,4
1574,1,18.0,666.0,41.0,saul.rowe@gmail.com,4
1614,1,19.0,400.0,50.0,trace93@hotmail.com,4
1647,1,19.0,555.0,46.0,deondre61@nolan.net,4
1723,1,19.0,777.0,97.0,vivien99@yahoo.com,4
1928,1,69.0,450.0,46.0,elmira.hettinger@yahoo.com,4
1948,1,40.0,456.0,48.0,alex52@hotmail.com,4
1957,1,19.0,678.0,58.0,barrows.lurline@hotmail.com,4
1978,1,56.0,670.0,46.0,arden.ratke@gmail.com,4
2026,1,32.0,666.0,63.0,gutkowski.caesar@hotmail.com,4
2076,1,27.0,678.0,47.0,zpfannerstill@gmail.com,4
2109,1,57.0,345.0,51.0,von.buck@yahoo.com,4
2130,1,49.0,333.0,48.0,erwin73@yahoo.com,4
2139,1,65.0,345.0,52.0,kiara.towne@gmail.com,4
2162,1,32.0,333.0,73.0,bridget99@gmail.com,4
2185,1,28.0,450.0,75.0,karina30@zieme.biz,4
2223,1,20.0,456.0,75.0,oquigley@gmail.com,4
2244,1,70.0,500.0,56.0,eino.gutmann@runolfsson.com,4
2316,1,29.0,500.0,88.0,robin.emmerich@gmail.com,4
2344,1,35.0,345.0,90.0,delmer.runolfsson@grant.com,4
2359,1,59.0,450.0,83.0,bjones@cronin.biz,4
2368,1,68.0,460.0,48.0,ashtyn46@gutkowski.info,4
2390,1,50.0,555.0,46.0,joseph.schaden@yahoo.com,4
2393,1,48.0,345.0,49.0,iklocko@corkery.biz,4
2399,1,48.0,610.0,42.0,maureen.hirthe@gmail.com,4
2417,1,32.0,678.0,43.0,coralie24@yahoo.com,4
2468,1,20.0,456.0,75.0,ppollich@kutch.com,4
2473,1,24.0,567.0,65.0,saul.quigley@muller.com,4
2487,1,70.0,500.0,56.0,laney.hoeger@yahoo.com,4
2490,1,19.0,344.0,59.0,constantin.sporer@gmail.com,4
2499,1,60.0,661.0,49.0,charles.kunze@ledner.net,4
2557,1,29.0,500.0,88.0,sophia.runolfsdottir@hotmail.com,4
2584,1,35.0,345.0,90.0,marlen.kuhlman@hudson.biz,4
2599,1,59.0,450.0,83.0,zachariah90@yahoo.com,4
2603,1,30.0,777.0,72.0,modesta15@volkman.com,4
2639,1,69.0,450.0,46.0,christiansen.leora@hotmail.com,4
2659,1,40.0,456.0,48.0,egraham@franecki.com,4
2668,1,19.0,678.0,58.0,rene.corwin@gmail.com,4
2689,1,56.0,670.0,46.0,volkman.lou@haley.com,4
2725,1,39.0,780.0,88.0,skiles.jade@osinski.org,4
2737,1,32.0,666.0,63.0,xcollier@larson.com,4
2787,1,27.0,678.0,47.0,halvorson.wilber@russel.com,4
2802,1,67.0,444.0,52.0,mpouros@balistreri.com,4
2820,1,57.0,345.0,51.0,schuppe.myles@hotmail.com,4
2831,1,18.0,666.0,41.0,runolfsson.marlen@rohan.com,4
2854,1,40.0,435.0,31.0,dangelo.bruen@boyer.com,4
2868,1,50.0,670.0,55.0,stanton.elinor@gmail.com,4
2877,1,47.0,660.0,41.0,klocko.lew@yahoo.com,4
2881,1,53.0,666.0,46.0,veum.deangelo@tremblay.com,4
2886,1,63.0,450.0,51.0,durward33@hotmail.com,4
2895,1,60.0,500.0,56.0,kautzer.abel@hotmail.com,4
2913,1,18.0,560.0,41.0,gregoria64@crooks.org,4
2922,1,23.0,790.0,41.0,feil.therese@gmail.com,4
2949,1,38.0,789.0,75.0,onie98@gmail.com,4
2953,1,35.0,500.0,55.0,willow.kemmer@fadel.com,4
2977,1,36.0,777.0,27.0,myrtice.jast@dickens.com,4
3037,1,69.0,450.0,46.0,fkovacek@yahoo.com,4
3048,1,19.0,645.0,59.0,vivian06@bode.info,4
3057,1,40.0,456.0,48.0,eleonore.thompson@gmail.com,4
3061,1,38.0,334.0,55.0,ida76@casper.com,4
3066,1,19.0,678.0,58.0,terrell.hyatt@hotmail.com,4
3074,1,32.0,678.0,42.0,ondricka.max@yahoo.com,4
3110,1,27.0,678.0,47.0,crona.morgan@emard.info,4
3125,1,67.0,444.0,52.0,gilda.kirlin@hotmail.com,4
3143,1,57.0,345.0,51.0,michael56@gmail.com,4
3154,1,18.0,666.0,41.0,kendra.hermiston@gmail.com,4
3199,1,19.0,400.0,50.0,dooley.cecile@nader.com,4
3232,1,19.0,555.0,46.0,dach.hershel@tromp.org,4
3307,1,19.0,777.0,97.0,roslyn93@kemmer.net,4
3511,1,69.0,450.0,46.0,fisher.hassie@bode.com,4
3531,1,40.0,456.0,48.0,stephan.buckridge@gmail.com,4
3540,1,19.0,678.0,58.0,lavina.luettgen@wiza.com,4
3561,1,56.0,670.0,46.0,elenor.lowe@murazik.net,4
3609,1,32.0,666.0,63.0,rosalind.macejkovic@auer.com,4
3659,1,27.0,678.0,47.0,margaret50@gmail.com,4
3692,1,57.0,345.0,51.0,austyn34@fritsch.com,4
3713,1,49.0,333.0,48.0,clifton54@gmail.com,4
3721,1,65.0,345.0,52.0,jdaniel@hotmail.com,4
3744,1,32.0,333.0,73.0,areichert@durgan.com,4
3767,1,28.0,450.0,75.0,kaitlyn.reilly@hotmail.com,4
3805,1,20.0,456.0,75.0,aaron16@hotmail.com,4
3826,1,70.0,500.0,56.0,robel.leonel@huel.com,4
3898,1,29.0,500.0,88.0,cremin.lamont@collins.net,4
3926,1,35.0,345.0,90.0,prohaska.stephany@hotmail.com,4
3941,1,59.0,450.0,83.0,mikel.harvey@gmail.com,4
3950,1,68.0,460.0,48.0,gorczany.isobel@gmail.com,4
3972,1,50.0,555.0,46.0,eyundt@yahoo.com,4
3975,1,48.0,345.0,49.0,efrain46@jerde.com,4
3981,1,48.0,610.0,42.0,hmohr@gmail.com,4
3999,1,32.0,678.0,43.0,hhomenick@medhurst.com,4
4050,1,20.0,456.0,75.0,maurice66@gmail.com,4
4055,1,24.0,567.0,65.0,vfranecki@crooks.info,4
4069,1,70.0,500.0,56.0,pjenkins@gmail.com,4
4072,1,19.0,344.0,59.0,ivory.schaden@hamill.info,4
4081,1,60.0,661.0,49.0,viola.kiehn@gmail.com,4
4140,1,29.0,500.0,88.0,reinger.tyrique@hotmail.com,4
4167,1,35.0,345.0,90.0,dare.carson@dare.com,4
4182,1,59.0,450.0,83.0,homenick.cordie@cummings.com,4
4186,1,30.0,777.0,72.0,vernon28@yahoo.com,4
4222,1,69.0,450.0,46.0,dmayer@kub.org,4
4242,1,40.0,456.0,48.0,keith55@cruickshank.com,4
4251,1,19.0,678.0,58.0,gisselle49@yahoo.com,4
4272,1,56.0,670.0,46.0,oschroeder@yahoo.com,4
4308,1,39.0,780.0,88.0,vaufderhar@mante.biz,4
4320,1,32.0,666.0,63.0,daren.hilpert@gibson.org,4
4369,1,27.0,678.0,47.0,runolfsson.rosalinda@ortiz.com,4
4384,1,67.0,444.0,52.0,mckenna.connelly@hotmail.com,4
4402,1,57.0,345.0,51.0,zabernathy@gmail.com,4
4413,1,18.0,666.0,41.0,nelda.zboncak@hotmail.com,4
4436,1,40.0,435.0,31.0,monroe.thiel@gmail.com,4
4450,1,50.0,670.0,55.0,boehm.sasha@hotmail.com,4
4459,1,47.0,660.0,41.0,gunnar75@yahoo.com,4
4463,1,53.0,666.0,46.0,kabshire@walker.com,4
4468,1,63.0,450.0,51.0,vvolkman@gmail.com,4
4477,1,60.0,500.0,56.0,kwyman@gmail.com,4
4495,1,18.0,560.0,41.0,ayden.schuster@gmail.com,4
4504,1,23.0,790.0,41.0,oconnell.meta@hotmail.com,4
4532,1,38.0,789.0,75.0,rmayert@yahoo.com,4
4536,1,35.0,500.0,55.0,hershel.carroll@herzog.biz,4
4560,1,36.0,777.0,27.0,cruz.nolan@ward.org,4
4620,1,69.0,450.0,46.0,jhegmann@fritsch.com,4
4631,1,19.0,645.0,59.0,wfranecki@hotmail.com,4
4640,1,40.0,456.0,48.0,frederique44@homenick.org,4
4644,1,38.0,334.0,55.0,jacobi.jarrett@yahoo.com,4
4649,1,19.0,678.0,58.0,haleigh24@hotmail.com,4
4692,1,27.0,678.0,47.0,allene.kemmer@volkman.com,4
4707,1,67.0,444.0,52.0,antonietta53@gmail.com,4
4725,1,57.0,345.0,51.0,wdicki@gmail.com,4
4736,1,18.0,666.0,41.0,alvina.kessler@gmail.com,4
4781,1,19.0,400.0,50.0,renner.skylar@willms.com,4
4814,1,19.0,555.0,46.0,xrohan@wilderman.com,4
4890,1,19.0,777.0,97.0,yost.edythe@yahoo.com,4
5095,1,69.0,450.0,46.0,hfadel@breitenberg.biz,4
5115,1,40.0,456.0,48.0,mfay@king.biz,4
5124,1,19.0,678.0,58.0,qklein@hotmail.com,4
5145,1,56.0,670.0,46.0,anais03@hotmail.com,4
5193,1,32.0,666.0,63.0,timothy.haley@luettgen.info,4
5242,1,27.0,678.0,47.0,warren88@langworth.info,4
5275,1,57.0,345.0,51.0,kendall.johnston@beer.biz,4
5296,1,49.0,333.0,48.0,palma26@borer.com,4
5305,1,65.0,345.0,52.0,barrows.lyric@hotmail.com,4
5328,1,32.0,333.0,73.0,schultz.ardith@gmail.com,4
5351,1,28.0,450.0,75.0,wolff.gretchen@johns.net,4
5389,1,20.0,456.0,75.0,vincenza.bednar@hotmail.com,4
5410,1,70.0,500.0,56.0,beatty.raegan@yahoo.com,4
5482,1,29.0,500.0,88.0,elwyn.becker@fay.com,4
5510,1,35.0,345.0,90.0,rbaumbach@wiza.com,4
5525,1,59.0,450.0,83.0,royce.okon@gmail.com,4
5534,1,68.0,460.0,48.0,lucienne.morissette@hotmail.com,4
5556,1,50.0,555.0,46.0,gutkowski.ardella@hotmail.com,4
5559,1,48.0,345.0,49.0,beier.augustus@king.com,4
5565,1,48.0,610.0,42.0,easton83@schneider.net,4
5583,1,32.0,678.0,43.0,lgorczany@blick.info,4
5634,1,20.0,456.0,75.0,nikki.lowe@yahoo.com,4
5640,1,24.0,567.0,65.0,hessel.rosario@considine.com,4
5654,1,70.0,500.0,56.0,maximillia.rempel@lehner.org,4
5657,1,19.0,344.0,59.0,monserrate.pfannerstill@renner.com,4
5666,1,60.0,661.0,49.0,pfannerstill.sylvester@gmail.com,4
5725,1,29.0,500.0,88.0,twilkinson@ankunding.com,4
5752,1,35.0,345.0,90.0,amber88@gmail.com,4
5767,1,59.0,450.0,83.0,baron.halvorson@carter.info,4
5771,1,30.0,777.0,72.0,fkoepp@yahoo.com,4
5806,1,69.0,450.0,46.0,nkoelpin@waelchi.biz,4
5826,1,40.0,456.0,48.0,chris.corwin@wisoky.org,4
5835,1,19.0,678.0,58.0,ybrekke@hotmail.com,4
5856,1,56.0,670.0,46.0,jovan85@hotmail.com,4
5892,1,39.0,780.0,88.0,vtillman@gmail.com,4
5904,1,32.0,666.0,63.0,bud93@schroeder.com,4
5954,1,27.0,678.0,47.0,ryan.rozella@adams.org,4
5969,1,67.0,444.0,52.0,neha01@gmail.com,4
5987,1,57.0,345.0,51.0,fryan@gmail.com,4
5998,1,18.0,666.0,41.0,dorothy68@gmail.com,4
6021,1,40.0,435.0,31.0,ashly57@gmail.com,4
6035,1,50.0,670.0,55.0,feest.murray@hotmail.com,4
6044,1,47.0,660.0,41.0,jenkins.hilbert@yahoo.com,4
6048,1,53.0,666.0,46.0,awatsica@wiza.com,4
6053,1,63.0,450.0,51.0,qstokes@gmail.com,4
6062,1,60.0,500.0,56.0,oberbrunner.lillie@kihn.com,4
6080,1,18.0,560.0,41.0,mhill@toy.net,4
6089,1,23.0,790.0,41.0,ujacobs@armstrong.com,4
6117,1,38.0,789.0,75.0,medhurst.viva@gmail.com,4
6121,1,35.0,500.0,55.0,dubuque.eugene@yahoo.com,4
6145,1,36.0,777.0,27.0,wunsch.madeline@gmail.com,4
6204,1,69.0,450.0,46.0,eichmann.cade@gmail.com,4
6215,1,19.0,645.0,59.0,katherine.schulist@hotmail.com,4
6224,1,40.0,456.0,48.0,altenwerth.antwan@yahoo.com,4
6228,1,38.0,334.0,55.0,nicolas.rau@maggio.com,4
6233,1,19.0,678.0,58.0,schneider.tavares@yahoo.com,4
6241,1,32.0,678.0,42.0,dewitt90@yahoo.com,4
6276,1,27.0,678.0,47.0,twilkinson@yundt.org,4
6291,1,67.0,444.0,52.0,tito80@rowe.com,4
6309,1,57.0,345.0,51.0,rosanna09@gmail.com,4
6319,1,18.0,666.0,41.0,karina93@hotmail.com,4
6364,1,19.0,400.0,50.0,alyce.quitzon@hotmail.com,4
6397,1,19.0,555.0,46.0,mfriesen@yahoo.com,4
6473,1,19.0,777.0,97.0,iabbott@yahoo.com,4
6677,1,69.0,450.0,46.0,carlee.bashirian@hotmail.com,4
6696,1,40.0,456.0,48.0,murphy.annabell@yahoo.com,4
6704,1,19.0,678.0,58.0,rbotsford@hotmail.com,4
6725,1,56.0,670.0,46.0,virginia56@hotmail.com,4
6773,1,32.0,666.0,63.0,blick.johnathan@kunze.com,4
6823,1,27.0,678.0,47.0,adam61@gmail.com,4
6855,1,57.0,345.0,51.0,qrau@crona.com,4
6876,1,49.0,333.0,48.0,savanna86@cole.info,4
6885,1,65.0,345.0,52.0,collins.amiya@marquardt.com,4
6908,1,32.0,333.0,73.0,sheila.renner@keeling.com,4
6931,1,28.0,450.0,75.0,sabrina64@robel.com,4
6969,1,20.0,456.0,75.0,vchamplin@yahoo.com,4
6990,1,70.0,500.0,56.0,hartmann.claude@altenwerth.com,4
7061,1,29.0,500.0,88.0,leora.bailey@hotmail.com,4
7089,1,35.0,345.0,90.0,nova.gibson@torphy.com,4
7104,1,59.0,450.0,83.0,keyon95@barrows.org,4
7113,1,68.0,460.0,48.0,pinkie.ankunding@yahoo.com,4
7135,1,50.0,555.0,46.0,cassin.laurine@anderson.com,4
7138,1,48.0,345.0,49.0,angelo.dicki@gmail.com,4
7144,1,48.0,610.0,42.0,cartwright.ebba@yahoo.com,4
7162,1,32.0,678.0,43.0,kasey.roberts@deckow.com,4
7213,1,20.0,456.0,75.0,tommie34@yahoo.com,4
7219,1,24.0,567.0,65.0,omoen@lockman.com,4
7233,1,70.0,500.0,56.0,ofelia96@cruickshank.com,4
7236,1,19.0,344.0,59.0,grussel@von.biz,4
7245,1,60.0,661.0,49.0,ryan.reese@hotmail.com,4
7303,1,29.0,500.0,88.0,bergstrom.jennie@gmail.com,4
7330,1,35.0,345.0,90.0,ryann08@yahoo.com,4
7345,1,59.0,450.0,83.0,corene.mueller@hotmail.com,4
7349,1,30.0,777.0,72.0,vandervort.ernestina@blick.com,4
7384,1,69.0,450.0,46.0,weimann.hollie@hotmail.com,4
7404,1,40.0,456.0,48.0,napoleon.pagac@keebler.com,4
7413,1,19.0,678.0,58.0,jamaal12@hotmail.com,4
7434,1,56.0,670.0,46.0,ray79@hirthe.com,4
7470,1,39.0,780.0,88.0,keyon12@harris.com,4
7482,1,32.0,666.0,63.0,edwin.erdman@upton.biz,4
7532,1,27.0,678.0,47.0,pbernier@yahoo.com,4
7547,1,67.0,444.0,52.0,hackett.tierra@hotmail.com,4
7565,1,57.0,345.0,51.0,antonette.moore@yahoo.com,4
7576,1,18.0,666.0,41.0,kayla.wilkinson@hintz.info,4
7599,1,40.0,435.0,31.0,angela80@frami.org,4
7613,1,50.0,670.0,55.0,savanah79@zboncak.com,4
7622,1,47.0,660.0,41.0,aboyer@bahringer.com,4
7626,1,53.0,666.0,46.0,adan96@yahoo.com,4
7631,1,63.0,450.0,51.0,boyle.constantin@wiegand.com,4
7640,1,60.0,500.0,56.0,hahn.wendell@hirthe.com,4
7658,1,18.0,560.0,41.0,clyde.bins@gmail.com,4
7667,1,23.0,790.0,41.0,joshuah04@hotmail.com,4
7695,1,38.0,789.0,75.0,gonzalo37@ritchie.net,4
7699,1,35.0,500.0,55.0,zbergstrom@johns.com,4
7723,1,36.0,777.0,27.0,glover.maurice@toy.info,4
7783,1,69.0,450.0,46.0,angie.hackett@gmail.com,4
7794,1,19.0,645.0,59.0,stella38@gmail.com,4
7803,1,40.0,456.0,48.0,timmothy.corwin@yahoo.com,4
7807,1,38.0,334.0,55.0,bryana.volkman@yahoo.com,4
7812,1,19.0,678.0,58.0,martina.mayert@gmail.com,4
7820,1,32.0,678.0,42.0,deshawn62@gmail.com,4
7856,1,27.0,678.0,47.0,sibyl.gleason@yahoo.com,4
7871,1,67.0,444.0,52.0,jkerluke@gmail.com,4
7889,1,57.0,345.0,51.0,morgan.schroeder@hotmail.com,4
7900,1,18.0,666.0,41.0,haley.gerlach@yahoo.com,4
7945,1,19.0,400.0,50.0,melyssa.hartmann@ritchie.org,4
7978,1,19.0,555.0,46.0,chelsie.hermann@yahoo.com,4
8054,1,19.0,777.0,97.0,jedediah.cruickshank@kuhn.com,4
8259,1,69.0,450.0,46.0,tess.miller@gmail.com,4
8279,1,40.0,456.0,48.0,fheathcote@gmail.com,4
8288,1,19.0,678.0,58.0,hgreenholt@gmail.com,4
8309,1,56.0,670.0,46.0,randi.bins@yahoo.com,4
8357,1,32.0,666.0,63.0,kailyn.oreilly@terry.com,4
8407,1,27.0,678.0,47.0,sienna.volkman@hotmail.com,4
8440,1,57.0,345.0,51.0,samara.west@gmail.com,4
8461,1,49.0,333.0,48.0,jacey17@keebler.com,4
8470,1,65.0,345.0,52.0,marta.ritchie@stehr.com,4
8493,1,32.0,333.0,73.0,xblock@gmail.com,4
8516,1,28.0,450.0,75.0,kaitlin.stroman@gmail.com,4
8553,1,20.0,456.0,75.0,rosie43@durgan.com,4
8574,1,70.0,500.0,56.0,eleannon@kutch.com,4
8645,1,29.0,500.0,88.0,kirlin.kian@brown.org,4
8673,1,35.0,345.0,90.0,durgan.mable@wolff.com,4
8688,1,59.0,450.0,83.0,xrunolfsson@osinski.com,4
8697,1,68.0,460.0,48.0,lynch.arne@gutmann.biz,4
8719,1,50.0,555.0,46.0,rebeca.beier@hotmail.com,4
8722,1,48.0,345.0,49.0,ktreutel@mccullough.com,4
8728,1,48.0,610.0,42.0,connelly.magdalen@yahoo.com,4
8746,1,32.0,678.0,43.0,bosco.turner@aufderhar.biz,4
8797,1,20.0,456.0,75.0,mhane@rempel.com,4
8803,1,24.0,567.0,65.0,abotsford@gmail.com,4
8817,1,70.0,500.0,56.0,zulauf.selina@stamm.com,4
8820,1,19.0,344.0,59.0,tschmitt@hotmail.com,4
8829,1,60.0,661.0,49.0,rledner@moen.com,4
8887,1,29.0,500.0,88.0,sawayn.robert@gmail.com,4
8914,1,35.0,345.0,90.0,jayde44@gmail.com,4
8929,1,59.0,450.0,83.0,laurie82@simonis.info,4
8933,1,30.0,777.0,72.0,torey02@swaniawski.com,4
8969,1,69.0,450.0,46.0,colin14@corwin.com,4
8988,1,40.0,456.0,48.0,lgulgowski@cole.com,4
8997,1,19.0,678.0,58.0,xweissnat@yahoo.com,4
9018,1,56.0,670.0,46.0,maria53@lemke.com,4
9054,1,39.0,780.0,88.0,bradley75@stehr.org,4
9065,1,32.0,666.0,63.0,cordell.mraz@gmail.com,4
9115,1,27.0,678.0,47.0,daryl.gutmann@lowe.com,4
9130,1,67.0,444.0,52.0,felicia.lockman@blanda.org,4
9148,1,57.0,345.0,51.0,mustafa.macejkovic@ankunding.info,4
9159,1,18.0,666.0,41.0,ankunding.sasha@gmail.com,4
9182,1,40.0,435.0,31.0,elody.volkman@hotmail.com,4
9196,1,50.0,670.0,55.0,marguerite15@feest.info,4
9205,1,47.0,660.0,41.0,emmy79@gmail.com,4
9209,1,53.0,666.0,46.0,julian13@hotmail.com,4
9214,1,63.0,450.0,51.0,bspinka@osinski.com,4
9223,1,60.0,500.0,56.0,frami.bonita@lemke.com,4
9241,1,18.0,560.0,41.0,sipes.jessy@jenkins.com,4
9250,1,23.0,790.0,41.0,albin.simonis@funk.net,4
9278,1,38.0,789.0,75.0,ryann.dicki@yahoo.com,4
9282,1,35.0,500.0,55.0,obie.wunsch@hotmail.com,4
9306,1,36.0,777.0,27.0,hirthe.larissa@pfeffer.com,4
9366,1,69.0,450.0,46.0,marlen97@turcotte.info,4
9377,1,19.0,645.0,59.0,jmckenzie@gmail.com,4
9385,1,40.0,456.0,48.0,casimer.powlowski@yahoo.com,4
9389,1,38.0,334.0,55.0,dallas67@marvin.com,4
9401,1,32.0,678.0,42.0,medhurst.hadley@hotmail.com,4
9437,1,27.0,678.0,47.0,olin00@gmail.com,4
9452,1,67.0,444.0,52.0,armstrong.penelope@waelchi.com,4
9470,1,57.0,345.0,51.0,graham.mcglynn@kutch.com,4
9481,1,18.0,666.0,41.0,mills.gregorio@yahoo.com,4
9526,1,19.0,400.0,50.0,laury.harber@yahoo.com,4
9559,1,19.0,555.0,46.0,runte.cecil@yahoo.com,4
9634,1,19.0,777.0,97.0,alivia.boyle@jaskolski.org,4
9839,1,69.0,450.0,46.0,kacie72@hotmail.com,4
9859,1,40.0,456.0,48.0,guy51@yahoo.com,4
9868,1,19.0,678.0,58.0,konopelski.antonina@gmail.com,4
9889,1,56.0,670.0,46.0,abdullah.price@rippin.com,4
9936,1,32.0,666.0,63.0,carley.thompson@hotmail.com,4
9984,1,27.0,678.0,47.0,derick.hamill@kiehn.com,4
10017,1,57.0,345.0,51.0,hane.lonnie@hotmail.com,4
10038,1,49.0,333.0,48.0,ernie.zulauf@hotmail.com,4
10047,1,65.0,345.0,52.0,leopold87@yahoo.com,4
10070,1,32.0,333.0,73.0,runte.magali@ruecker.net,4
10093,1,28.0,450.0,75.0,upton.minnie@yahoo.com,4
10131,1,20.0,456.0,75.0,smacejkovic@gmail.com,4
10152,1,70.0,500.0,56.0,nellie60@hotmail.com,4
10224,1,29.0,500.0,88.0,jyost@gmail.com,4
10252,1,35.0,345.0,90.0,johnston.dewitt@hotmail.com,4
10266,1,59.0,450.0,83.0,temard@wolff.com,4
10275,1,68.0,460.0,48.0,corrine05@hessel.com,4
10297,1,50.0,555.0,46.0,hettinger.dominic@yahoo.com,4
10300,1,48.0,345.0,49.0,pveum@dach.com,4
10306,1,48.0,610.0,42.0,crist.nelson@medhurst.com,4
10324,1,32.0,678.0,43.0,justice.hodkiewicz@reinger.com,4
10375,1,20.0,456.0,75.0,pietro04@hotmail.com,4
10381,1,24.0,567.0,65.0,gregory38@gmail.com,4
10395,1,70.0,500.0,56.0,lhowell@hotmail.com,4
10398,1,19.0,344.0,59.0,welch.paula@hotmail.com,4
10407,1,60.0,661.0,49.0,xgreenfelder@dach.com,4
10466,1,29.0,500.0,88.0,sabrina53@hotmail.com,4
10493,1,35.0,345.0,90.0,darlene.osinski@bayer.com,4
10507,1,59.0,450.0,83.0,ernesto.deckow@gmail.com,4
10511,1,30.0,777.0,72.0,berge.geovanny@gmail.com,4
10547,1,69.0,450.0,46.0,beatty.marcos@gmail.com,4
10567,1,40.0,456.0,48.0,gayle03@yahoo.com,4
10576,1,19.0,678.0,58.0,agnes.sauer@hotmail.com,4
10597,1,56.0,670.0,46.0,nrenner@hotmail.com,4
10633,1,39.0,780.0,88.0,cdibbert@yahoo.com,4
10645,1,32.0,666.0,63.0,yking@yahoo.com,4
10695,1,27.0,678.0,47.0,jefferey20@dietrich.com,4
10710,1,67.0,444.0,52.0,beatty.brisa@yahoo.com,4
10728,1,57.0,345.0,51.0,abigail.hilpert@gmail.com,4
10739,1,18.0,666.0,41.0,vhaley@heaney.com,4
10762,1,40.0,435.0,31.0,lowe.verlie@moore.com,4
10776,1,50.0,670.0,55.0,deangelo74@yahoo.com,4
10785,1,47.0,660.0,41.0,twila04@hotmail.com,4
10789,1,53.0,666.0,46.0,myles.murray@yahoo.com,4
10794,1,63.0,450.0,51.0,sgleason@yahoo.com,4
10803,1,60.0,500.0,56.0,yklocko@gmail.com,4
10821,1,18.0,560.0,41.0,filiberto64@hotmail.com,4
