,Gender,Age,Annual Income (k),Spending Score (1-100),Email
65,1,19.0,48.0,59.0,mweimann@king.biz
66,1,19.0,48.0,50.0,kconroy@yahoo.com
67,1,19.0,48.0,48.0,waelchi.connor@abernathy.info
68,1,19.0,48.0,59.0,harvey.prudence@tillman.org
69,1,19.0,48.0,47.0,avery78@renner.com
70,1,19.0,49.0,55.0,reece37@hand.com
71,1,19.0,49.0,42.0,hammes.marjory@hotmail.com
72,1,19.0,50.0,49.0,virginia.medhurst@shanahan.com
73,1,19.0,50.0,56.0,vada13@gleichner.com
74,1,19.0,54.0,47.0,pmarks@hauck.com
75,1,19.0,54.0,54.0,vcarter@hotmail.com
76,1,19.0,54.0,53.0,rice.leo@beer.com
77,1,19.0,222.0,48.0,malinda28@kiehn.com
78,1,19.0,54.0,52.0,davin.macejkovic@gmail.com
79,1,19.0,54.0,42.0,pgerhold@spencer.biz
80,1,19.0,54.0,51.0,kara.nolan@kerluke.com
81,1,19.0,54.0,55.0,grant.jessie@ebert.info
82,1,19.0,54.0,50.0,cframi@yahoo.com
83,1,19.0,54.0,44.0,carmela.konopelski@hotmail.com
84,1,19.0,54.0,57.0,mante.chloe@heaney.net
85,1,19.0,54.0,46.0,tom04@hotmail.com
86,1,19.0,57.0,58.0,effertz.verla@gmail.com
87,1,19.0,57.0,55.0,volkman.barney@funk.com
88,1,19.0,58.0,60.0,batz.rachael@pfeffer.com
89,1,19.0,555.0,46.0,josephine73@hotmail.com
90,1,19.0,59.0,55.0,gertrude.lang@gaylord.com
91,1,19.0,59.0,41.0,lrippin@yahoo.com
92,1,19.0,60.0,49.0,gquitzon@yahoo.com
93,1,19.0,61.0,40.0,lester71@gmail.com
94,1,19.0,60.0,42.0,idooley@wuckert.com
95,1,19.0,60.0,52.0,burdette.johnson@goldner.com
96,1,19.0,60.0,47.0,mbrekke@hettinger.net
97,1,19.0,60.0,50.0,malachi24@hotmail.com
98,1,19.0,61.0,42.0,okey.ortiz@yahoo.com
99,1,19.0,61.0,49.0,lucinda52@gmail.com
100,1,19.0,62.0,41.0,vonrueden.frederic@hermiston.org
101,1,19.0,62.0,48.0,metz.justine@yahoo.com
102,1,19.0,62.0,59.0,jackie.rau@jakubowski.net
103,1,19.0,62.0,55.0,dustin.schneider@yahoo.com
104,1,19.0,62.0,56.0,pagac.sammy@yahoo.com
105,1,19.0,62.0,42.0,hcronin@yahoo.com
106,1,19.0,63.0,50.0,emil.franecki@konopelski.com
107,1,19.0,63.0,46.0,nyasia21@hotmail.com
109,1,19.0,63.0,48.0,kbosco@larson.info
110,1,19.0,63.0,52.0,eliezer29@gmail.com
111,1,19.0,63.0,54.0,champlin.ruthie@little.com
112,1,19.0,64.0,42.0,bartoletti.keagan@hotmail.com
113,1,19.0,900.0,46.0,roob.skyla@yahoo.com
114,1,19.0,65.0,48.0,dorothy20@mitchell.com
115,1,19.0,65.0,50.0,royal.schmitt@heaney.com
116,1,19.0,65.0,43.0,desiree.kris@harber.com
117,1,19.0,65.0,59.0,austen.leffler@yahoo.com
118,1,19.0,67.0,43.0,thaddeus.bartell@kulas.com
119,1,19.0,67.0,57.0,koepp.owen@bashirian.com
120,1,19.0,67.0,56.0,michel.haag@yahoo.com
121,1,19.0,67.0,50.0,frolfson@gmail.com
122,1,19.0,69.0,58.0,frederic.welch@kuhlman.net
123,1,19.0,69.0,91.0,desiree.roberts@jacobi.com
124,1,19.0,70.0,29.0,tcrona@oberbrunner.com
125,1,19.0,70.0,77.0,green.juwan@wisoky.org
126,1,19.0,71.0,35.0,mlubowitz@osinski.com
127,1,19.0,71.0,95.0,schaefer.keira@renner.com
129,1,19.0,71.0,75.0,carleton.weimann@hotmail.com
131,1,19.0,71.0,75.0,heloise61@gmail.com
132,1,19.0,72.0,34.0,vonrueden.edythe@gmail.com
133,1,19.0,72.0,71.0,jessyca45@daugherty.com
135,1,19.0,73.0,88.0,isabell16@herman.com
137,1,19.0,73.0,73.0,wbraun@gmail.com
139,1,19.0,74.0,72.0,edenesik@toy.biz
141,1,19.0,61.0,93.0,franco.gottlieb@hotmail.com
142,1,19.0,76.0,40.0,kade.kuphal@white.net
143,1,19.0,1000.0,87.0,ressie.kub@yahoo.com
145,1,19.0,77.0,97.0,reynolds.tressa@gmail.com
146,1,19.0,77.0,36.0,twest@hotmail.com
147,1,19.0,77.0,74.0,ratke.chanelle@gmail.com
148,1,19.0,78.0,22.0,aileen.koepp@cronin.com
149,1,19.0,78.0,90.0,emelie.hansen@hickle.net
151,1,19.0,78.0,88.0,lawrence.bartell@waelchi.net
153,1,19.0,78.0,76.0,dawn.stokes@leffler.com
155,1,19.0,78.0,89.0,emmalee.rohan@halvorson.com
157,1,19.0,78.0,78.0,lucius.murray@bauch.com
159,1,19.0,78.0,73.0,coby35@yahoo.com
160,1,19.0,79.0,35.0,donnell.kulas@yahoo.com
161,1,19.0,79.0,83.0,herman.trever@yahoo.com
163,1,19.0,81.0,93.0,cordelia.lemke@crist.com
164,1,19.0,85.0,26.0,lubowitz.caden@yahoo.com
165,1,19.0,85.0,75.0,izemlak@schaden.net
167,1,19.0,86.0,95.0,donato72@wilderman.com
168,1,19.0,87.0,27.0,daniel.kavon@yahoo.com
169,1,19.0,87.0,63.0,jdibbert@hotmail.com
171,1,19.0,87.0,75.0,rod.wilderman@denesik.biz
173,1,19.0,3456.0,92.0,corkery.rebecca@yahoo.com
175,1,19.0,88.0,86.0,kirsten.herzog@hotmail.com
177,1,19.0,88.0,69.0,erick.rippin@mcdermott.com
179,1,19.0,93.0,90.0,lane43@gmail.com
180,1,19.0,97.0,32.0,zola20@cruickshank.com
181,1,19.0,97.0,86.0,fritsch.jarvis@yahoo.com
183,1,19.0,98.0,88.0,webster.koch@gmail.com
184,1,19.0,99.0,39.0,gleason.lonny@lindgren.org
185,1,19.0,777.0,97.0,anastasia52@treutel.com
186,1,19.0,101.0,24.0,torrance.green@hotmail.com
187,1,19.0,101.0,68.0,doris77@hotmail.com
189,1,19.0,103.0,85.0,vmccullough@yahoo.com
190,1,19.0,103.0,23.0,rodriguez.hanna@ryan.com
191,1,19.0,103.0,69.0,dicki.gwendolyn@parker.com
193,1,19.0,113.0,91.0,boconner@connelly.info
195,1,19.0,120.0,79.0,russel.breanne@koch.com
196,1,19.0,126.0,28.0,gerlach.foster@hotmail.com
197,1,19.0,126.0,74.0,trinity.paucek@schmitt.info
199,1,19.0,137.0,83.0,carolyn00@okuneva.com
203,1,19.0,45.0,77.0,heller.markus@gislason.com
207,1,19.0,44.0,94.0,maiya.mcglynn@gmail.com
213,1,19.0,55.0,77.0,becker.ezra@yahoo.com
216,1,19.0,21.0,35.0,strosin.everette@oreilly.com
217,1,19.0,34.0,66.0,icronin@blick.com
218,1,19.0,23.0,29.0,leuschke.raheem@harvey.com
219,1,19.0,23.0,98.0,walton68@hotmail.com
220,1,19.0,24.0,35.0,gabriella00@yahoo.com
221,1,19.0,24.0,73.0,etoy@gmail.com
223,1,19.0,25.0,73.0,lwisozk@hudson.com
225,1,19.0,28.0,82.0,lindgren.maximo@trantow.info
226,1,19.0,28.0,32.0,ygutkowski@hansen.com
227,1,19.0,28.0,61.0,ewintheiser@dubuque.biz
228,1,19.0,24.0,31.0,royal.lebsack@mccullough.com
229,1,19.0,29.0,87.0,mya97@hotmail.com
231,1,19.0,30.0,73.0,elwyn92@yahoo.com
233,1,19.0,123.0,92.0,sraynor@blanda.info
237,1,19.0,34.0,73.0,kari.predovic@hotmail.com
238,1,19.0,37.0,26.0,parker.altenwerth@anderson.com
239,1,19.0,23.0,75.0,enid.wiegand@boyle.com
240,1,19.0,38.0,35.0,kayla92@yahoo.com
241,1,19.0,38.0,92.0,clay53@pollich.com
242,1,19.0,39.0,36.0,jaylon15@reynolds.com
243,1,19.0,39.0,61.0,carmen.tillman@yahoo.com
244,1,19.0,33.0,28.0,jamir84@leffler.info
245,1,19.0,39.0,65.0,tcollier@crona.com
246,1,19.0,40.0,55.0,keon.bashirian@hotmail.com
247,1,19.0,40.0,47.0,okuhlman@hotmail.com
248,1,19.0,40.0,42.0,cjacobson@lubowitz.com
249,1,19.0,40.0,42.0,emetz@gmail.com
250,1,19.0,45.0,52.0,wanda.doyle@gmail.com
251,1,19.0,42.0,60.0,nkub@hotmail.com
252,1,19.0,43.0,54.0,bertram43@trantow.org
253,1,19.0,43.0,60.0,tatyana.mann@hotmail.com
254,1,19.0,43.0,45.0,aufderhar.zoie@tillman.net
255,1,19.0,61.0,41.0,shea.gerhold@ruecker.biz
256,1,19.0,44.0,50.0,ghaag@hotmail.com
257,1,19.0,44.0,46.0,noble.waters@keeling.com
258,1,19.0,46.0,51.0,jonathon.weber@hotmail.com
259,1,19.0,46.0,46.0,ortiz.tom@yahoo.com
260,1,19.0,46.0,56.0,karson31@gmail.com
261,1,19.0,46.0,55.0,aubree10@renner.info
262,1,19.0,47.0,52.0,eleazar.hilpert@hotmail.com
263,1,19.0,47.0,59.0,uyundt@barton.com
264,1,19.0,55.0,51.0,vonrueden.naomie@hotmail.com
265,1,19.0,48.0,59.0,kub.matilde@gmail.com
266,1,19.0,48.0,50.0,annamarie83@zboncak.com
267,1,19.0,48.0,48.0,tanner13@hotmail.com
268,1,19.0,48.0,59.0,madelyn94@blick.org
269,1,19.0,48.0,47.0,deja71@gorczany.com
270,1,19.0,49.0,55.0,fay.adrianna@hotmail.com
271,1,19.0,123.0,42.0,zulauf.stella@auer.org
272,1,19.0,50.0,49.0,daron35@vonrueden.com
273,1,19.0,50.0,56.0,graham.cristina@parisian.com
274,1,19.0,54.0,47.0,nader.alberto@gmail.com
275,1,19.0,54.0,54.0,kyra.pfeffer@yahoo.com
276,1,19.0,54.0,53.0,emmie89@hotmail.com
277,1,19.0,54.0,48.0,jenkins.adelbert@hotmail.com
278,1,19.0,54.0,52.0,dee41@hotmail.com
279,1,19.0,111.0,42.0,walter.melisa@macejkovic.net
280,1,19.0,54.0,51.0,shahn@yahoo.com
281,1,19.0,54.0,55.0,ford19@littel.biz
282,1,19.0,54.0,41.0,reece.durgan@schultz.com
283,1,19.0,54.0,44.0,rlang@yahoo.com
284,1,19.0,54.0,57.0,leopold.cummerata@mertz.com
285,1,19.0,54.0,46.0,buck.schiller@yahoo.com
286,1,19.0,222.0,58.0,luciano.schamberger@gmail.com
287,1,19.0,57.0,55.0,fredrick03@gmail.com
288,1,19.0,58.0,60.0,ernser.ignacio@haag.biz
289,1,19.0,58.0,46.0,randall.schimmel@hotmail.com
290,1,19.0,59.0,55.0,elizabeth.prosacco@towne.biz
291,1,19.0,59.0,41.0,rau.rocky@hotmail.com
292,1,19.0,60.0,49.0,collin.kunze@renner.com
293,1,19.0,60.0,40.0,chase.dickinson@bergnaum.org
294,1,19.0,60.0,42.0,constantin42@bergnaum.com
295,1,19.0,60.0,50.0,fgreenholt@wisozk.org
296,1,19.0,60.0,47.0,blick.anabel@gmail.com
297,1,19.0,60.0,50.0,logan83@hotmail.com
298,1,19.0,61.0,42.0,raegan.jacobs@hotmail.com
299,1,19.0,45.0,49.0,wisozk.arlene@hotmail.com
300,1,19.0,62.0,41.0,bernier.guiseppe@hotmail.com
301,1,19.0,62.0,48.0,cade.simonis@tillman.com
302,1,19.0,62.0,59.0,alexandrine.legros@murphy.biz
303,1,19.0,62.0,55.0,laverna.grady@friesen.com
304,1,19.0,62.0,56.0,block.vicenta@hotmail.com
305,1,19.0,62.0,42.0,jstroman@gmail.com
306,1,19.0,54.0,50.0,marvin.walter@eichmann.com
307,1,19.0,63.0,46.0,audreanne35@yahoo.com
308,1,19.0,63.0,43.0,fiona.wintheiser@gmail.com
309,1,19.0,63.0,48.0,karl82@hotmail.com
310,1,19.0,63.0,52.0,leola.bahringer@yahoo.com
311,1,19.0,63.0,54.0,awisoky@gorczany.net
312,1,19.0,64.0,42.0,nolan.isaiah@yahoo.com
313,1,19.0,64.0,46.0,vicente.miller@labadie.com
314,1,19.0,65.0,48.0,rose.trantow@gmail.com
315,1,19.0,65.0,50.0,lester.stracke@hotmail.com
316,1,19.0,65.0,43.0,mueller.pink@leuschke.info
317,1,19.0,65.0,59.0,bergnaum.abraham@schaden.com
318,1,19.0,67.0,43.0,zita.purdy@gmail.com
319,1,19.0,67.0,57.0,ezekiel.jenkins@hotmail.com
320,1,19.0,67.0,56.0,tbeahan@gmail.com
321,1,19.0,67.0,40.0,mschaefer@hotmail.com
322,1,19.0,44.0,58.0,kameron.weber@hotmail.com
323,1,19.0,69.0,91.0,orn.cedrick@conn.net
324,1,19.0,70.0,29.0,torphy.winifred@gmail.com
325,1,19.0,70.0,77.0,qlangworth@gmail.com
326,1,19.0,71.0,35.0,russel.lakin@hotmail.com
327,1,19.0,71.0,95.0,lang.aurelio@hilpert.com
329,1,19.0,71.0,75.0,schultz.nellie@tremblay.net
331,1,19.0,71.0,75.0,irwin.boyle@yahoo.com
332,1,19.0,72.0,34.0,vidal.bins@gmail.com
333,1,19.0,72.0,71.0,toney.abbott@homenick.org
335,1,19.0,73.0,88.0,josefa.gulgowski@yahoo.com
337,1,19.0,73.0,73.0,fbogan@bradtke.info
339,1,19.0,74.0,72.0,buddy.lebsack@yahoo.com
341,1,19.0,75.0,93.0,uhayes@yahoo.com
342,1,19.0,76.0,40.0,leola59@lakin.biz
343,1,19.0,76.0,87.0,farrell.otilia@cummings.org
345,1,19.0,77.0,97.0,nico83@rau.com
346,1,19.0,77.0,36.0,zachariah.feil@gmail.com
347,1,19.0,77.0,74.0,johan.gutmann@donnelly.net
348,1,19.0,78.0,22.0,zreichert@hotmail.com
349,1,19.0,230.0,90.0,king.ervin@grimes.com
351,1,19.0,78.0,88.0,ledner.marley@gmail.com
353,1,19.0,78.0,76.0,stone74@swift.biz
355,1,19.0,78.0,89.0,coby.kihn@yahoo.com
357,1,19.0,78.0,78.0,irwin.littel@gmail.com
359,1,19.0,78.0,73.0,kilback.aaliyah@yahoo.com
360,1,19.0,79.0,35.0,carter.abagail@hotmail.com
361,1,19.0,79.0,83.0,haag.sid@gmail.com
363,1,19.0,81.0,93.0,terrance.spinka@ruecker.com
364,1,19.0,85.0,26.0,wschulist@gleason.biz
365,1,19.0,85.0,75.0,legros.heber@stoltenberg.com
367,1,19.0,86.0,95.0,esperanza.renner@hotmail.com
368,1,19.0,87.0,27.0,kira05@dooley.com
369,1,19.0,87.0,63.0,beau18@hotmail.com
371,1,19.0,87.0,75.0,jabari41@yahoo.com
373,1,19.0,87.0,92.0,hpagac@yahoo.com
375,1,19.0,88.0,86.0,amalia.von@yahoo.com
377,1,19.0,88.0,69.0,vlind@gmail.com
379,1,19.0,93.0,90.0,estevan.turner@schmidt.com
380,1,19.0,97.0,32.0,bwintheiser@hotmail.com
381,1,19.0,97.0,86.0,hauck.alexa@yahoo.com
383,1,19.0,98.0,88.0,cgottlieb@botsford.com
384,1,19.0,99.0,39.0,schmeler.rubye@gmail.com
385,1,50.0,99.0,97.0,karli39@murazik.org
386,1,54.0,101.0,24.0,ernser.riley@hotmail.com
387,1,28.0,101.0,68.0,dcasper@harber.org
389,1,36.0,103.0,85.0,earnest71@brakus.com
390,1,34.0,103.0,23.0,seamus.huel@gmail.com
391,1,32.0,55.0,69.0,major.murazik@nikolaus.net
393,1,38.0,113.0,91.0,considine.nina@okon.net
395,1,23.0,120.0,79.0,dulce12@hotmail.com
396,1,45.0,126.0,28.0,margarete08@gmail.com
397,1,32.0,145.0,74.0,dickens.frederique@hotmail.com
399,1,59.0,137.0,83.0,zgreenfelder@hotmail.com
400,1,29.0,120.0,39.0,corn@kessler.com
404,1,31.0,130.0,40.0,idooley@mitchell.net
416,1,53.0,21.0,35.0,wintheiser.jerald@wintheiser.org
417,1,20.0,21.0,66.0,ledner.tod@yundt.biz
418,1,52.0,23.0,29.0,fahey.zetta@jast.org
419,1,35.0,23.0,98.0,bruen.lina@satterfield.com
420,1,31.0,24.0,35.0,estella.gutmann@hotmail.com
421,1,25.0,24.0,73.0,willis.abernathy@tremblay.org
423,1,31.0,25.0,73.0,shermann@hotmail.com
425,1,29.0,28.0,82.0,satterfield.jadon@ritchie.org
426,1,45.0,28.0,32.0,johnny.leannon@barton.net
427,1,35.0,28.0,50.0,desmond73@glover.com
428,1,40.0,29.0,31.0,aida90@yahoo.com
429,1,23.0,29.0,87.0,azulauf@hotmail.com
431,1,21.0,30.0,73.0,will.christine@yahoo.com
433,1,18.0,33.0,92.0,bcremin@gmail.com
435,1,21.0,33.0,81.0,domenic37@larkin.org
437,1,30.0,34.0,73.0,leuschke.timmy@gmail.com
438,1,36.0,37.0,26.0,jaeden21@schamberger.com
439,1,20.0,37.0,75.0,lila68@hotmail.com
440,1,65.0,38.0,35.0,tbailey@labadie.biz
441,1,24.0,38.0,92.0,lehner.marisa@yahoo.com
442,1,48.0,39.0,36.0,gparker@dooley.com
443,1,45.0,39.0,61.0,zsipes@yahoo.com
444,1,21.0,39.0,28.0,christophe20@haag.com
445,1,24.0,230.0,65.0,ressie.schaefer@gmail.com
446,1,50.0,40.0,55.0,bosco.elda@konopelski.com
447,1,27.0,40.0,47.0,hlowe@gmail.com
448,1,29.0,40.0,42.0,wiley31@effertz.info
449,1,31.0,40.0,42.0,scarroll@wintheiser.info
450,1,49.0,42.0,52.0,jadyn.gerlach@carroll.info
451,1,33.0,42.0,60.0,ephraim.lockman@yahoo.com
452,1,31.0,43.0,54.0,okon.vivien@gmail.com
453,1,59.0,43.0,60.0,brook87@beer.net
454,1,50.0,43.0,45.0,broderick.mueller@dicki.com
455,1,47.0,43.0,41.0,jstark@mitchell.com
456,1,32.0,44.0,50.0,von.jonathan@toy.com
457,1,69.0,450.0,46.0,nvon@hotmail.com
458,1,56.0,46.0,51.0,josianne.harber@macejkovic.com
459,1,53.0,46.0,46.0,kub.tevin@hotmail.com
460,1,70.0,46.0,56.0,rippin.shania@gmail.com
461,1,19.0,46.0,55.0,gabriella.borer@metz.biz
462,1,67.0,1000.0,52.0,cturcotte@yahoo.com
463,1,19.0,47.0,59.0,ymcdermott@yahoo.com
464,1,63.0,48.0,51.0,jbins@gmail.com
465,1,18.0,48.0,59.0,mitchell.velma@huel.com
466,1,43.0,48.0,50.0,bins.lulu@yahoo.com
467,1,68.0,48.0,48.0,dorothy12@keebler.biz
468,1,19.0,34.0,59.0,josh94@morar.com
469,1,32.0,48.0,47.0,leonora.kerluke@yahoo.com
470,1,32.0,49.0,55.0,lang.kayleigh@reichert.net
471,1,47.0,49.0,42.0,flatley.santina@gmail.com
472,1,60.0,50.0,49.0,llubowitz@reichert.biz
473,1,60.0,50.0,56.0,stephania93@hoppe.com
474,1,59.0,54.0,47.0,kuphal.wyatt@cole.com
475,1,26.0,54.0,54.0,zbartell@nolan.com
476,1,67.0,54.0,53.0,carli75@feeney.com
477,1,40.0,456.0,48.0,waltenwerth@gmail.com
478,1,23.0,54.0,52.0,klehner@gmail.com
479,1,49.0,54.0,42.0,gheller@feest.info
480,1,57.0,54.0,51.0,zachary78@yahoo.com
481,1,38.0,54.0,55.0,vhand@davis.com
482,1,67.0,54.0,41.0,alessandro29@gmail.com
483,1,46.0,54.0,44.0,eklein@kovacek.com
484,1,21.0,54.0,57.0,douglas.upton@corwin.net
485,1,48.0,54.0,46.0,torp.sydney@bahringer.com
486,1,19.0,678.0,58.0,hthiel@gmail.com
487,1,22.0,57.0,55.0,irwin37@hotmail.com
488,1,34.0,58.0,60.0,awitting@yahoo.com
489,1,50.0,58.0,46.0,nlindgren@gmail.com
490,1,68.0,59.0,55.0,ashton04@koss.com
491,1,18.0,59.0,41.0,orunte@tillman.com
492,1,48.0,60.0,49.0,della.greenfelder@gmail.com
493,1,40.0,60.0,40.0,schultz.pasquale@johnson.com
494,1,32.0,60.0,42.0,mona.jerde@hauck.info
495,1,24.0,60.0,52.0,jraynor@gerhold.info
496,1,47.0,60.0,47.0,tlegros@hotmail.com
497,1,27.0,60.0,50.0,legros.maye@armstrong.net
498,1,21.0,890.0,42.0,ureinger@yahoo.com
499,1,20.0,61.0,49.0,streich.iva@yahoo.com
500,1,23.0,62.0,41.0,aliyah49@yahoo.com
501,1,49.0,62.0,48.0,grant88@cole.com
502,1,67.0,62.0,59.0,gfeest@kessler.biz
503,1,26.0,62.0,55.0,garland60@yahoo.com
504,1,49.0,62.0,56.0,glynch@dickens.com
505,1,21.0,62.0,42.0,bernhard.malcolm@yahoo.com
506,1,20.0,63.0,50.0,ledner.esperanza@walter.org
507,1,56.0,670.0,46.0,johnpaul64@gmail.com
508,1,68.0,63.0,43.0,kathryne.kling@renner.org
509,1,66.0,63.0,48.0,grayce.abernathy@gmail.com
510,1,65.0,63.0,52.0,udooley@carroll.com
511,1,19.0,63.0,54.0,zgutmann@stanton.com
512,1,38.0,64.0,42.0,rwelch@lesch.biz
513,1,19.0,64.0,46.0,emmy46@gmail.com
514,1,18.0,65.0,48.0,cassin.dean@murphy.com
515,1,69.0,65.0,50.0,groob@kassulke.info
516,1,63.0,1200.0,43.0,aileen.kuhlman@hotmail.com
517,1,49.0,65.0,59.0,gerlach.kiley@kris.com
518,1,18.0,67.0,43.0,henriette.mraz@lockman.com
519,1,50.0,67.0,57.0,pbauch@gmail.com
520,1,27.0,67.0,56.0,javonte69@stiedemann.com
521,1,38.0,67.0,40.0,graham.quinton@bruen.biz
522,1,40.0,69.0,58.0,jacklyn.swaniawski@gmail.com
523,1,39.0,69.0,91.0,eugene.kautzer@gmail.com
524,1,32.0,70.0,29.0,ortiz.rosalyn@hotmail.com
525,1,23.0,1234.0,77.0,lpfannerstill@jones.com
526,1,43.0,71.0,35.0,smitham.walton@yahoo.com
527,1,40.0,71.0,95.0,nrempel@yahoo.com
529,1,56.0,71.0,75.0,joaquin57@doyle.info
531,1,39.0,71.0,75.0,kozey.barton@yahoo.com
532,1,25.0,72.0,34.0,consuelo27@hotmail.com
533,1,31.0,72.0,71.0,dmitchell@damore.com
535,1,29.0,73.0,88.0,tony13@yahoo.com
537,1,32.0,61.0,73.0,uglover@feeney.org
539,1,35.0,74.0,72.0,schmeler.betty@gmail.com
541,1,32.0,75.0,93.0,oboyle@hotmail.com
542,1,28.0,76.0,40.0,alexis27@gmail.com
543,1,32.0,76.0,87.0,fernando.kertzmann@yahoo.com
545,1,28.0,123.0,97.0,annabel.johns@hotmail.com
546,1,22.0,77.0,36.0,cschultz@windler.info
547,1,32.0,77.0,74.0,kaylie52@hotmail.com
548,1,34.0,78.0,22.0,aanderson@ferry.com
549,1,34.0,78.0,90.0,xbogan@gmail.com
551,1,39.0,78.0,88.0,leopold97@gutmann.org
553,1,38.0,78.0,76.0,sonya.pacocha@gmail.com
555,1,27.0,78.0,89.0,okonopelski@metz.biz
557,1,30.0,78.0,78.0,kwolff@gmail.com
559,1,30.0,78.0,73.0,bins.nedra@brown.biz
560,1,56.0,79.0,35.0,milford63@koss.com
561,1,29.0,79.0,83.0,lauriane13@hotmail.com
563,1,31.0,56.0,93.0,donavon.prosacco@wintheiser.org
564,1,50.0,85.0,26.0,onie.jacobs@berge.com
565,1,36.0,85.0,75.0,clemens.fadel@gmail.com
567,1,44.0,86.0,95.0,wilburn.padberg@yahoo.com
568,1,36.0,87.0,27.0,chloe.stehr@kassulke.org
569,1,32.0,666.0,63.0,runolfsdottir.quinn@huel.info
571,1,28.0,87.0,75.0,buckridge.yvette@gmail.com
573,1,36.0,87.0,92.0,amaya.beahan@yahoo.com
575,1,30.0,88.0,86.0,lmann@gislason.com
577,1,27.0,88.0,69.0,fbartell@funk.com
579,1,35.0,93.0,90.0,wbednar@zulauf.com
580,1,37.0,97.0,32.0,christiansen.jeanette@wolff.com
581,1,32.0,97.0,86.0,rpadberg@wolf.biz
583,1,29.0,98.0,88.0,gislason.dianna@davis.org
584,1,41.0,99.0,39.0,maxime.kemmer@frami.com
585,1,50.0,99.0,97.0,lwunsch@yahoo.com
586,1,54.0,101.0,24.0,vstrosin@ferry.com
587,1,28.0,101.0,68.0,oberbrunner.rosario@ryan.biz
589,1,36.0,103.0,85.0,vswaniawski@keebler.biz
590,1,34.0,1030.0,23.0,dangelo.mueller@gmail.com
591,1,32.0,103.0,69.0,msteuber@yahoo.com
593,1,38.0,113.0,91.0,bella.miller@gmail.com
595,1,23.0,120.0,79.0,lindgren.candice@hotmail.com
596,1,45.0,126.0,28.0,gottlieb.emmie@gleichner.net
597,1,32.0,126.0,74.0,brady.johnson@witting.com
599,1,59.0,137.0,83.0,abbie.nader@hilpert.net
603,1,23.0,45.0,77.0,ruecker.jovan@lakin.com
607,1,23.0,44.0,94.0,ara.stamm@mante.com
613,1,24.0,55.0,77.0,hilpert.ubaldo@mills.org
616,1,53.0,21.0,35.0,sgraham@hotmail.com
617,1,20.0,34.0,66.0,ibauch@boehm.com
618,1,52.0,23.0,29.0,nienow.daphney@hotmail.com
619,1,35.0,23.0,98.0,stone.vandervort@kohler.info
620,1,35.0,24.0,35.0,ybruen@gmail.com
621,1,25.0,24.0,73.0,owilderman@larkin.com
623,1,31.0,25.0,73.0,kuhlman.deborah@schmeler.com
624,1,39.0,28.0,50.0,bgrant@gmail.com
625,1,29.0,28.0,82.0,rgaylord@yahoo.com
626,1,45.0,234.0,32.0,terry.gino@yahoo.com
627,1,35.0,28.0,61.0,cruickshank.amanda@yahoo.com
