,Gender,Age,Annual Income (k$),Spending Score (1-100),Email,Unnamed: 6,Unnamed: 7,Unnamed: 8
73,0,60,50,56,cuteJoel@uol.com.br,,,
74,1,59,54,47,delightfulMartha@hotmail.es,,,
75,1,26,54,54,Traviswide-eyed@hotmail.com,,,
76,0,45,54,53,Alberteager@googlemail.com,,,
77,1,40,54,48,Christinacalm@club-internet.fr,,,
78,0,23,54,52,bloodyDarrell@club-internet.fr,,,
79,0,49,54,42,Candacezealous@planet.nl,,,
80,1,57,54,51,soreRaymond@sbcglobal.net,,,
81,1,38,54,55,Rebekahexcited@cox.net,,,
82,1,67,54,41,Aliciascary@sympatico.ca,,,
83,0,46,54,44,drabBrad22@yahoo.fr,,,
84,0,21,54,57,repulsiveShannon64@att.net,,,
85,1,48,54,46,modernShawna@bigpond.com,,,
86,0,55,57,58,mysteriousCourtney94@rocketmail.com,,,
87,0,22,57,55,boredAlisha52@gmx.de,,,
88,0,34,58,60,Ebonycourageous@yahoo.it,,,
89,0,50,58,46,wittyKeri67@voila.fr,,,
90,0,68,59,55,breakableVictor@aol.com,,,
91,1,18,59,41,old-fashionedRonald62@cox.net,,,
92,1,48,60,49,perfectRachel4@live.co.uk,,,
93,0,40,60,40,Shaunmisty@virgilio.it,,,
94,0,32,60,42,lonelyBrad70@optusnet.com.au,,,
95,1,24,60,52,aggressiveSusan11@yandex.ru,,,
96,0,47,60,47,hungryWayne62@charter.net,,,
97,0,27,60,50,Andresnutty@yahoo.com.sg,,,
98,1,48,61,42,jitteryFrank@t-online.de,,,
99,1,20,61,49,crowdedAshleigh@freenet.de,,,
100,0,23,62,41,deadSteven81@live.ca,,,
101,0,49,62,48,putridGlenn@yandex.ru,,,
102,1,67,62,59,Dannydead@yandex.ru,,,
103,1,26,62,55,homelessMario1@bluewin.ch,,,
104,1,49,62,56,Edwinunusual@outlook.com,,,
105,0,21,62,42,perfectFrederick0@bigpond.com,,,
106,0,66,63,50,funnyPreston@yahoo.com.sg,,,
107,1,54,63,46,Claytonaverage@yahoo.es,,,
108,1,68,63,43,Shanethankful@live.ca,,,
109,1,66,63,48,Jacquelinecharming@t-online.de,,,
110,1,65,63,52,Annodd@live.com.au,,,
111,0,19,63,54,enchantingDenise@mail.com,,,
112,0,38,64,42,Jeromeexcited@yahoo.co.jp,,,
113,1,19,64,46,tiredAdrienne90@planet.nl,,,
114,0,18,65,48,cruelRenee@skynet.be,,,
115,0,19,65,50,gentleJames@earthlink.net,,,
116,0,63,65,43,ashamedMathew@ntlworld.com,,,
117,0,49,65,59,wanderingGabriel@live.com,,,
118,0,51,67,43,pleasantCole@yahoo.com.mx,,,
119,0,50,67,57,Abbyrepulsive@hotmail.com,,,
120,1,27,67,56,Drewenvious@yahoo.es,,,
121,0,38,67,40,zanyTony83@att.net,,,
122,0,40,69,58,vivaciousVeronica@verizon.net,,,
123,1,39,69,91,averageJeremiah@live.com,,,
124,0,23,70,29,doubtfulKendra@comcast.net,,,
125,0,31,70,77,innocentAbigail@freenet.de,,,
126,1,43,71,35,Deannapowerful@centurytel.net,,,
127,1,40,71,95,famousEmmanuel12@mac.com,,,
128,1,59,71,11,zanyShawn@yahoo.co.uk,,,
129,1,38,71,75,Gracesuccessful@sbcglobal.net,,,
130,1,47,71,9,Matthewcareful@yahoo.com.mx,,,
131,1,39,71,75,talentedLeonard@yahoo.com.sg,,,
132,0,25,72,34,hurtStefanie@yahoo.com.br,,,
133,0,31,72,71,helplessMallory@hotmail.fr,,,
134,1,20,73,5,comfortableBilly33@hotmail.de,,,
135,0,29,73,88,homelessToni25@yahoo.co.in,,,
136,0,44,73,7,Blakedead@shaw.ca,,,
137,1,32,73,73,anxiousBrandy52@skynet.be,,,
138,1,19,74,10,vastMonique@hotmail.es,,,
139,0,35,74,72,Joannadistinct@hotmail.co.uk,,,
140,0,57,75,5,arrogantBethany11@web.de,,,
141,1,32,75,93,motionlessAmber47@orange.fr,,,
142,0,28,76,40,nervousMelody@yahoo.co.id,,,
143,0,32,76,87,Brandonrelieved@uol.com.br,,,
144,1,25,77,12,fantasticChristy82@rocketmail.com,,,
145,1,28,77,97,blueVictoria62@googlemail.com,,,
146,1,48,77,36,evilNathan61@bol.com.br,,,
147,0,32,77,74,helpfulRonnie65@aol.com,,,
148,0,34,78,22,puzzledHannah@tiscali.it,,,
149,1,34,78,90,inexpensiveMeghan49@aliceadsl.fr,,,
150,1,43,78,17,wildAnne@yahoo.com.au,,,
151,1,39,78,88,courageousBridget26@planet.nl,,,
152,0,44,78,20,disgustedLori88@bluewin.ch,,,
153,0,38,78,76,Ashleighcombative@gmail.com,,,
154,0,47,78,16,Randigorgeous@planet.nl,,,
155,0,27,78,89,doubtfulCourtney@gmx.de,,,
156,1,37,78,1,Mindydefiant@rocketmail.com,,,
157,0,30,78,78,cruelTrevor30@yahoo.com.mx,,,
158,1,34,78,1,blueRaul25@freenet.de,,,
159,0,30,78,73,Derekfoolish@aol.com,,,
160,0,56,79,35,troubledAlexis38@msn.com,,,
161,0,29,79,83,tenderLacey@voila.fr,,,
162,1,19,81,5,hungryNikki@web.de,,,
163,0,31,81,93,Hannahdizzy@bluewin.ch,,,
164,1,50,85,26,bewilderedTravis@tin.it,,,
165,0,36,85,75,Trevorcomfortable@live.com.au,,,
166,1,42,86,20,aggressiveMichael@aol.com,,,
167,0,33,86,95,puzzledAlyssa93@gmail.com,,,
168,0,36,87,27,determinedBrian@rocketmail.com,,,
169,1,32,87,63,attractiveMarcus@voila.fr,,,
170,1,40,87,13,tastyChad@bigpond.com,,,
171,1,28,87,75,strangeMelody@gmx.net,,,
172,1,36,87,10,nuttyMark16@me.com,,,
173,1,36,87,92,successfulAmelia@gmx.de,,,
174,0,52,88,13,Rubenwild@terra.com.br,,,
175,0,30,88,86,nuttyVanessa22@laposte.net,,,
176,1,58,88,15,Jeremyalive@bigpond.net.au,,,
177,1,27,88,69,franticKelly@optonline.net,,,
178,1,59,93,14,stupidCorey@chello.nl,,,
179,1,35,93,90,worriedTony@yahoo.in,,,
180,0,37,97,32,depressedFernando82@bol.com.br,,,
181,0,32,97,86,successfulDesiree92@hotmail.com,,,
182,1,46,98,15,Rosafragile@rediffmail.com,,,
183,0,29,98,88,Reginaldlong@yahoo.com.mx,,,
184,0,41,99,39,handsomeDaisy@hetnet.nl,,,
185,1,30,99,97,determinedAlicia@mail.ru,,,
186,0,54,101,24,nervousJeremy@aim.com,,,
187,1,28,101,68,blushingLacey@blueyonder.co.uk,,,
188,0,41,103,17,enviousJasmine@t-online.de,,,
189,0,36,103,85,embarrassedRoger96@chello.nl,,,
190,0,34,103,23,angryIsaac0@verizon.net,,,
191,0,32,103,69,splendidAutumn@gmail.com,,,
192,1,33,113,8,depressedValerie35@hotmail.co.uk,,,
193,0,38,113,91,depressedPedro82@sbcglobal.net,,,
194,0,47,120,16,alertLeslie@yahoo.ca,,,
195,0,35,120,79,gloriousRandy47@terra.com.br,,,
196,0,45,126,28,vivaciousDaisy@bigpond.com,,,
197,1,32,126,74,Eduardorich@club-internet.fr,,,
198,1,32,137,18,wrongJasmine94@blueyonder.co.uk,,,
199,1,30,137,83,clearJared@chello.nl,,,
